from,to,type,confidence,reason,step
"Class:src/ui/include/responseeditdialog.h:QPlainTextEdit","comm_168","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/responseeditdialog.h:QPushButton","comm_168","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/responseeditdialog.h:QStackedWidget","comm_168","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/responseeditdialog.h:QTableWidget","comm_168","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/responseeditdialog.h:ResponseEditDialog","comm_341","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QHBoxLayout","comm_200","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QLineEdit","comm_171","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QToolButton","comm_171","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QLabel","comm_171","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QCheckBox","comm_171","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindwidget.h:QuickFindWidget","comm_342","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindpattern.h:QuickFindPattern","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindmux.h:SearchableWidgetInterface","comm_343","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindmux.h:QuickFindMuxSelectorInterface","comm_321","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfindmux.h:QuickFindMux","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfind.h:SearchingNotifier","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/quickfind.h:QuickFind","comm_106","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/qfnotifications.h:QFNotification","comm_347","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/qfnotifications.h:QFNotificationReachedEndOfFile","comm_347","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/qfnotifications.h:QFNotificationReachedBegininningOfFile","comm_347","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/qfnotifications.h:QFNotificationInterrupted","comm_347","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/qfnotifications.h:QFNotificationProgress","comm_347","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewwindow.h:QTabWidget","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewwindow.h:PreviewMessageTab","comm_185","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewwindow.h:PreviewWindow","comm_348","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewstablemodel.h:PreviewsTableModel","comm_349","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmessagetab.h:QComboBox","comm_193","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmessagetab.h:QGroupBox","comm_193","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmessagetab.h:QPlainTextEdit","comm_193","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmessagetab.h:QTreeWidget","comm_193","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmessagetab.h:PreviewMessageTab","comm_350","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/previewmanager.h:PreviewManager","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/predefinedfiltersdialog.h:PredefinedFiltersDialog","comm_351","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/predefinedfilterscombobox.h:QStandardItemModel","comm_204","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/predefinedfilterscombobox.h:PredefinedFiltersComboBox","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/pathline.h:PathLine","comm_212","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/overviewwidget.h:OverviewWidget","comm_352","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/optionsdialog.h:KeySequencePresenter","comm_353","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/optionsdialog.h:OptionsDialog","comm_354","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:QComboBox","comm_215","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:QDialogButtonBox","comm_215","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:QLineEdit","comm_215","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:QCheckBox","comm_215","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:QPushButton","comm_215","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/opencomportdialog.h:OpenComPortDialog","comm_355","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/menu.h:QMenu","comm_234","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/menu.h:QPoint","comm_70","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/menu.h:MenuActionToolTipBehavior","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/menu.h:HoverMenu","comm_234","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/mainwindow.h:QAction","comm_234","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/mainwindow.h:QActionGroup","comm_95","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/mainwindow.h:QLabel","comm_200","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/mainwindow.h:HighlightersMenu","comm_214","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/mainwindow.h:MainWindow","comm_82","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/logmainview.h:LogMainView","comm_343","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:QLabel","comm_248","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:QLineEdit","comm_248","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:QListWidget","comm_248","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:QPushButton","comm_248","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:QPlainTextEdit","comm_248","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/labqueuewindow.h:LabQueueWindow","comm_362","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/infoline.h:InfoLine","comm_212","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importpreviewsdialog.h:QDialogButtonBox","comm_250","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importpreviewsdialog.h:QTableView","comm_250","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importpreviewsdialog.h:QToolButton","comm_250","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importpreviewsdialog.h:PreviewsTableModel","comm_250","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importpreviewsdialog.h:ImportPreviewsDialog","comm_363","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importactionsdialog.h:QDialogButtonBox","comm_252","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importactionsdialog.h:QTableView","comm_252","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importactionsdialog.h:QToolButton","comm_252","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/importactionsdialog.h:ImportActionsDialog","comm_364","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/iconloader.h:QWidget","comm_199","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/highlightersmenu.h:HighlightersMenu","comm_234","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/highlightersetedit.h:HighlighterSetEdit","comm_96","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/highlightersdialog.h:HighlightersDialog","comm_365","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/highlighteredit.h:HighlighterEdit","comm_96","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/filteredview.h:FilteredView","comm_343","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/downloader.h:Downloader","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/displayfilepath.h:DisplayFilePath","comm_206","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/displayfilepath.h:FullPathComparator","comm_206","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/decompressor.h:Decompressor","comm_49","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/crawlerwidget.h:InfoLine","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/crawlerwidget.h:QStandardItemModel","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/crawlerwidget.h:QCompleter","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/crawlerwidget.h:OverviewWidget","comm_184","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/crawlerwidget.h:CrawlerWidget","comm_321","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/actionstablemodel.h:ActionsTableModel","comm_369","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/actionsresponseswindow.h:ActionsTableModel","comm_295","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/actionsresponseswindow.h:ResponsesTableModel","comm_295","MEMBER_OF",1,"leiden-algorithm",0
"Class:src/ui/include/actionsresponseswindow.h:QCheckBox","comm_295","MEMBER_OF",1,"leiden-algorithm",0
