from,to,type,confidence,reason,step
"Method:src/logdata/src/logfiltereddata.cpp:updateMaxLengthMarks","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:getMarks","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:handleSearchProgressed","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findLogDataLine","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:findFilteredLine","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetLines","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logfiltereddata.cpp:doGetNbLine","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:getNbLines","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:parseDataBlock","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:indexNextBlock","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:doIndex","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/logdataworker.cpp:run","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:at","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:uncompress_last_block","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:range","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/include/logfiltereddata.h:LogFilteredData.lastProcessedLine#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/include/logfiltereddata.h:LogFilteredData.getExpectedSearchEnd#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/logdata/include/linepositionarray.h:SimpleLinePositionStorage.size#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/logdata/include/compressedlinestorage.h:CompressedLinePositionStorage.at#1~size_t","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/app/labcontrollerservice.cpp:handleAgentConnection#0","Struct:src/app/labcontrollerservice.h:AgentConnectionState","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:at#1","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:uncompress_last_block#0","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/logdata/src/compressedlinestorage.cpp:range#2","Struct:src/logdata/include/linetypes.h:OffsetInFile","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:mouseMoveEvent#1","Struct:src/logdata/include/linetypes.h:LineLength","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelectionUp#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:moveSelectionDown#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:doRegisterShortcuts#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:verticalScrollToLineNumber#1","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:paintEvent#1","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:maxDisplayLineNumber#0","Struct:src/logdata/include/linetypes.h:LineNumber","CALLS",0.9,"import-resolved",0
"Method:src/ui/src/abstractlogview.cpp:getViewPosition#0","Struct:src/logdata/include/linetypes.h:LinesCount","CALLS",0.9,"import-resolved",0
