from,to,type,confidence,reason,step
"Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.focusedViewObjectName#0","Method:tests/ui/crawlerwidget_test.cpp:CrawlerWidget::access_by<CrawlerWidgetPrivate>.focusedViewObjectName#0","CALLS",0.95,"same-file",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Method:src/ui/include/commander.h:CommanderResult.ok#0","CALLS",0.9,"import-resolved",0
"Method:src/app/scenarioheadlessrunner.cpp:run","Method:src/ui/include/mainwindow.h:MainWindow.commanderWindowInfo#0","CALLS",0.9,"import-resolved",0
"Method:src/app/messagereceiver.h:MessageReceiver.receiveMessage#1","Method:src/app/messagereceiver.h:MessageReceiver.handleCommandMessage#2","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.receiveMessage#1","Method:src/app/messagereceiver.h:MessageReceiver.isValidAckPath#1","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.handleCommandMessage#2","Method:src/app/messagereceiver.h:MessageReceiver.isValidTempPath#3","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.handleCommandMessage#2","Method:src/app/messagereceiver.h:MessageReceiver.writeFailureResult#2","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.isValidTempPath#3","Method:src/app/messagereceiver.h:MessageReceiver.isPathEqual#2","CALLS",0.95,"same-file",0
"Method:src/app/messagereceiver.h:MessageReceiver.isValidAckPath#1","Method:src/app/messagereceiver.h:MessageReceiver.isValidTempPath#3","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:~LabControllerService","Method:src/app/labcontrollerservice.cpp:stop#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:start","Method:src/app/labcontrollerservice.cpp:loadToken#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:start","Method:src/app/labcontrollerservice.cpp:initializeDatabase#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:stop","Method:src/ui/src/abstractlogview.cpp:LineChunk.end#0","CALLS",0.5,"global",0
